#timestamp(s) cam0 cam1 cam2 mono stereo observe
1694074162.10230 138 29 112 221 29 250
1694074162.13563 138 28 112 222 28 250
1694074162.20319 137 28 112 221 28 249
1694074162.23696 137 26 111 222 26 248
1694074162.30292 135 29 110 216 29 245
1694074162.40231 136 33 111 214 33 247
1694074162.43564 138 31 112 219 31 250
1694074162.50319 139 29 112 222 29 251
1694074162.53654 139 30 113 222 30 252
1694074162.60292 139 31 114 222 31 253
1694074162.63697 138 30 114 222 30 252
1694074162.70362 137 26 112 223 26 249
1694074162.73565 138 27 112 223 27 250
1694074162.80364 139 26 113 226 26 252
1694074162.90232 136 27 113 222 27 249
1694074162.93566 135 27 113 221 27 248
1694074163.03565 136 29 112 219 29 248
1694074163.13699 138 32 112 218 32 250
1694074163.23566 138 29 111 220 29 249
1694074163.30233 137 28 111 220 28 248
1694074163.33565 138 28 111 221 28 249
1694074163.40322 139 29 111 221 29 250
1694074163.43657 140 28 109 221 28 249
1694074163.53567 139 27 110 222 27 249
1694074163.60233 142 31 110 221 31 252
1694074163.63566 139 29 110 220 29 249
1694074163.70433 136 28 110 218 28 246
1694074163.73658 140 33 108 215 33 248
1694074163.80322 139 33 109 215 33 248
1694074163.90233 140 34 109 215 34 249
1694074163.93567 144 39 109 214 39 253
1694074164.03658 143 36 108 215 36 251
1694074164.33630 144 39 108 213 39 252
1694074164.40323 144 37 108 215 37 252
1694074164.50235 144 37 108 215 37 252
1694074164.53568 143 36 108 215 36 251
1694074164.63631 141 32 108 217 32 249
1694074164.70393 146 37 108 217 37 254
1694074164.73727 144 36 108 216 36 252
1694074164.80235 140 31 108 217 31 248
1694074164.83568 138 28 108 218 28 246
1694074164.90299 137 31 108 214 31 245
1694074164.93632 135 29 108 214 29 243
1694074165.13703 133 29 107 211 29 240
1694074165.23633 129 27 104 206 27 233
1694074165.30368 130 27 103 206 27 233
1694074165.33570 132 26 104 210 26 236
1694074165.40236 133 27 105 211 27 238
1694074165.43704 129 25 104 208 25 233
1694074165.50301 129 23 104 210 23 233
1694074165.53703 133 25 103 211 25 236
1694074165.63702 128 23 105 210 23 233
1694074165.70237 133 30 105 208 30 238
1694074165.73662 134 30 105 209 30 239
1694074165.80369 137 30 105 212 30 242
1694074165.90367 135 31 104 208 31 239
1694074165.93703 135 28 103 210 28 238
1694074166.00237 136 31 103 208 31 239
1694074166.03662 138 29 103 212 29 241
1694074166.10368 134 27 102 209 27 236
1694074166.13572 140 33 103 210 33 243
1694074166.20238 140 31 102 211 31 242
1694074166.23571 138 32 102 208 32 240
1694074166.30238 139 31 102 210 31 241
1694074166.33663 141 35 102 208 35 243
1694074166.40240 139 30 102 211 30 241
1694074166.50239 139 29 103 213 29 242
1694074166.53572 138 29 103 212 29 241
1694074166.63704 138 29 102 211 29 240
1694074166.70327 138 28 102 212 28 240
1694074166.73573 134 27 102 209 27 236
1694074166.83573 133 27 102 208 27 235
1694074166.90239 135 26 103 212 26 238
1694074166.93706 137 26 103 214 26 240
1694074167.00327 139 29 103 213 29 242
1694074167.03574 143 33 103 213 33 246
1694074167.10240 141 31 102 212 31 243
1694074167.13573 141 31 102 212 31 243
1694074167.20239 139 29 103 213 29 242
1694074167.23715 138 28 103 213 28 241
1694074167.30328 140 29 104 215 29 244
1694074167.33664 140 30 104 214 30 244
1694074167.40241 139 32 105 212 32 244
1694074167.43574 139 32 105 212 32 244
1694074167.50240 136 28 105 213 28 241
1694074167.53715 135 28 105 212 28 240
1694074167.60380 134 27 105 212 27 239
1694074167.73574 133 27 104 210 27 237
1694074167.83717 135 27 104 212 27 239
1694074167.90370 136 29 104 211 29 240
1694074167.93715 135 31 104 208 31 239
1694074168.00241 135 30 104 209 30 239
1694074168.03575 134 30 105 209 30 239
1694074168.10380 135 31 105 209 31 240
1694074168.13716 137 32 105 210 32 242
1694074168.20379 135 31 105 209 31 240
1694074168.23716 136 31 104 209 31 240
1694074168.30242 138 34 105 209 34 243
1694074168.33575 136 30 105 211 30 241
1694074168.40381 135 30 105 210 30 240
1694074168.43718 135 31 106 210 31 241
1694074168.53717 136 31 106 211 31 242
1694074168.60380 137 29 106 214 29 243
1694074168.63576 139 33 106 212 33 245
1694074168.70383 134 28 106 212 28 240
1694074168.73786 137 31 106 212 31 243
1694074168.83785 133 27 106 212 27 239
1694074168.90451 136 30 106 212 30 242
1694074168.93576 137 30 106 213 30 243
1694074169.00382 133 26 106 213 26 239
1694074169.10452 132 27 106 211 27 238
1694074169.13786 136 29 106 213 29 242
1694074169.20382 135 27 106 214 27 241
1694074169.23786 135 28 106 213 28 241
